"Latitude","Longitude","Total_Volume"
43.64865,-79.3802643,63104
43.65481,-79.38848,59118
43.814,-79.34862,57058
43.81687,-79.33654,51216
43.7666245,-79.38805,50996
43.7615128,-79.4109039,50476
43.6697,-79.3894653,48741
43.65572,-79.3837357,48516
43.79805,-79.42007,48488
43.74322,-79.30463,48225
